IssuerCompany,Subsector,Sector
UFO Moviez Ltd,Media & Entertainment,Media & Communication
Ujjivan Financial Services Ltd,Finance - General,Finance
United Bank of India,Banks - Public Sector,Finance
Usher Agro Ltd,Food Processing,Food & Beverages
VA Tech Wabag Ltd,Infrastructure - General,Infrastructure
Vascon Engineers Limited,Construction & Contracting - Real Estate,Infrastructure
Vaswani Industries Ltd,Steel - Sponge Iron,Metals & Mining
V-Guard Industries Limited,Miscellaneous,Miscellaneous
Vimal Oil and Foods Limited,Pharmaceuticals,Medical
Vishal Retail Ltd,Textiles - Spinning - Cotton Blended,Lifestyle
VKS Projects Ltd,Engineering,Manufacturing
V-Mart Retail Ltd,Retail,Lifestyle
VMS Industries Ltd,Miscellaneous,Miscellaneous
Voltamp Transformers Limited,Power - Transmission & Equipment,Power
VRL Logistics Ltd,Transport & Logistics,Infrastructure
Wonderla Holidays Ltd,Miscellaneous,Miscellaneous
XL Telecom Ltd,Telecommunications - Equipment,Media & Communication
Zylog Systems Limited,Computers - Software Medium & Small,Computers
