"","IssuerCompany","IssueOpenDate","IssueCloseDate","IssuePrice","IssueType","IssueSize","IPOYear"
"103","Transformers and Rectifiers India Ltd",2007-12-07,2007-12-12,465,"BB",139.27,2007
"104","Brigade Enterprises Limited",2007-12-10,2007-12-13,390,"BB",648.36,2007
"105","Aries Agro Limited",2007-12-14,2007-12-19,130,"BB",58.5,2007
"106","Porwal Auto Components Limited",2007-12-17,2007-12-20,75,"BB",37.5,2007
"107","Manaksia Limited",2007-12-17,2007-12-19,160,"BB",248,2007
"108","Precision Pipes and Profiles Company Ltd",2007-12-17,2007-12-20,150,"BB",75,2007
"109","Future Capital Holdings Ltd",2008-01-11,2008-01-16,765,"BB",491.34,2008
"110","Reliance Power Limited",2008-01-15,2008-01-18,450,"BB",NA,2008
"111","J Kumar Infraprojects Limited",2008-01-18,2008-01-23,110,"BB",71.5,2008
"112","Cords Cable Industries Limited",2008-01-21,2008-01-24,135,"BB",41.65,2008
"113","OnMobile Global Limited",2008-01-24,2008-01-29,440,"BB",479.62,2008
"114","KNR Constructions Limited",2008-01-24,2008-01-29,180,"BB",133.87,2008
"115","Bang Overseas Limited",2008-01-28,2008-01-31,207,"BB",72.45,2008
"116","Shriram EPC Limited",2008-01-29,2008-02-01,300,"BB",150,2008
"117","Wockhardt Hospitals Ltd",2008-01-31,2008-02-07,NA,"BB",NA,2008
"118","IRB Infrastructure Developers Ltd",2008-01-31,2008-02-05,185,"BB",944.57,2008
"119","Emaar MGF Land Ltd",2008-02-01,2008-02-11,NA,"BB",NA,2008
"120","Tulsi Extrusions Limited",2008-02-01,2008-02-05,85,"BB",48.45,2008
"121","SVEC Constructions Ltd",2008-02-04,2008-02-13,NA,"BB",NA,2008
"122","GSS America Infotech Ltd",2008-02-11,2008-02-15,400,"BB",139.9,2008
"123","V-Guard Industries Limited",2008-02-18,2008-02-21,82,"BB",65.6,2008
"124","Rural Electrification Corporation Ltd.",2008-02-19,2008-02-22,105,"BB",NA,2008
"125","Gammon Infrastructure Projects Ltd",2008-03-10,2008-03-13,167,"BB",276.39,2008
"126","Sita Shree Food Products Ltd",2008-03-11,2008-03-14,30,"BB",31.5,2008
"127","Titagarh Wagons Limited",2008-03-24,2008-03-27,540,"BB",128.72,2008
"128","Kiri Dyes and Chemicals Limited",2008-03-25,2008-04-02,150,"BB",56.25,2008
"129","Aishwarya Telecom Limited",2008-04-15,2008-04-17,35,"BB",14,2008
"130","Gokul Refoils and Solvent Limited",2008-05-08,2008-05-13,195,"BB",139.59,2008
"131","Anu's Laboratories Limited",2008-05-12,2008-05-15,210,"BB",80.22,2008
"132","Niraj Cement Structurals Ltd",2008-05-26,2008-05-30,190,"BB",61.75,2008
"133","Bafna Pharmaceuticals Limited",2008-05-27,2008-05-30,40,"FP",25.6,2008
"134","Avon Weighing Systems Limited",2008-06-09,2008-06-12,10,"FP",9.84,2008
"135","Sejal Architectural Glass Ltd",2008-06-09,2008-06-12,115,"BB",105.73,2008
"136","First Winner Industries Limited",2008-06-09,2008-06-17,125,"BB",68.75,2008
"137","Lotus Eye Care Hospital Limited",2008-06-12,2008-06-20,38,"BB",38,2008
"138","KSK Energy Ventures Ltd",2008-06-23,2008-06-25,240,"BB",830.66,2008
"139","Somi Conveyor Beltings Limited",2008-06-24,2008-06-27,35,"FP",21.8,2008
"140","Birla Cotsyn (India) Limited",2008-06-30,2008-07-09,14,"BB",144.18,2008
"141","Vishal Information Technologies Ltd",2008-07-21,2008-07-24,150,"BB",41.85,2008
"142","Nu Tek India Limited",2008-07-29,2008-08-01,192,"BB",86.4,2008
"143","Austral Coke & Projects Ltd",2008-08-07,2008-08-13,196,"BB",142.3,2008
"144","Resurgere Mines & Minerals India Ltd",2008-08-11,2008-08-13,270,"BB",120.15,2008
"145","20 Microns Limited",2008-09-08,2008-09-11,55,"BB",23.93,2008
"146","Chemcel Bio-tech Limited",2008-09-09,2008-09-12,16,"FP",24.64,2008
"147","Alkali Metals Limited",2008-10-07,2008-10-15,103,"BB",26.27,2008
"148","Gemini Engi-Fab Limited",2009-02-03,2009-02-06,NA,"BB",NA,2009
"149","Edserv Softsystems Limited",2009-02-05,2009-02-09,60,"BB",23.84,2009
"150","Rishabhdev Technocable Ltd",2009-06-04,2009-06-09,33,"BB",22.62,2009
"151","Mahindra Holidays and Resorts India Ltd",2009-06-23,2009-06-26,300,"BB",277.96,2009
"152","Excel Infoways Limited",2009-07-14,2009-07-17,85,"BB",48.17,2009
"153","Raj Oil Mills Limited",2009-07-20,2009-07-23,120,"BB",114,2009
"154","Adani Power Limited",2009-07-28,2009-07-31,100,"BB",NA,2009
"155","NHPC Limited",2009-08-07,2009-08-12,36,"BB",NA,2009
"156","Jindal Cotex Limited",2009-08-27,2009-09-01,75,"BB",84.38,2009
"157","Globus Spirits Limited",2009-08-31,2009-09-02,100,"BB",75,2009
"158","Oil India Limited",2009-09-07,2009-09-10,NA,"BB",NA,2009
"159","Pipavav Shipyard Limited",2009-09-16,2009-09-18,58,"BB",495.61,2009
"160","Euro Multivision Limited",2009-09-22,2009-09-24,75,"BB",66,2009
"161","Thinksoft Global Services Ltd",2009-09-22,2009-10-01,125,"BB",45.58,2009
"162","Indiabulls Power Limited",2009-10-12,2009-10-15,45,"BB",NA,2009
"163","Den Networks Limited",2009-10-28,2009-10-30,195,"BB",364.46,2009
"164","Astec LifeSciences Limited",2009-10-29,2009-11-04,82,"BB",61.5,2009
"165","Cox and Kings (India) Limited",2009-11-18,2009-11-20,330,"BB",610.39,2009
"166","MBL Infrastructures Ltd",2009-11-27,2009-12-01,180,"BB",102.6,2009
"167","JSW Energy Limited",2009-12-07,2009-12-09,95,"BB",NA,2009
"168","Godrej Properties Limited",2009-12-09,2009-12-11,490,"BB",468.85,2009
"169","D B Corp Limited",2009-12-11,2009-12-15,212,"BB",384.22,2009
"170","Infinite Computer Solutions India Ltd",2010-01-11,2010-01-13,165,"BB",189.8,2010
"171","Jubilant Foodworks Ltd",2010-01-18,2010-01-20,145,"BB",328.72,2010
"172","Aqua Logistics Ltd",2010-01-25,2010-02-02,215,"BB",150,2010
"173","Thangamayil Jewellery Limited",2010-01-27,2010-01-29,75,"BB",28.76,2010
"174","Syncom Healthcare Limited",2010-01-27,2010-01-29,75,"BB",56.25,2010
