Date,Open,High,Low,Close,DMA7,DMA15,DMA50,DMA100,DMA200
12-Mar-14,21793.32,21965.95,21768.14,21856.22,21518.31,21132.92,20854.39,20839.56,20144.03
13-Mar-14,21736.61,21991.36,21720.13,21774.61,21648.25,21214.38,20868.06,20849.3,20154.33
14-Mar-14,21648.05,21853.32,21573.48,21809.8,21728.94,21284.49,20881.77,20858.1,20163.18
18-Mar-14,21849.65,22040.72,21785.38,21832.61,21805.08,21369.37,20894.45,20867.55,20171.49
19-Mar-14,21872.68,21895.83,21782.01,21832.86,21850.61,21444.83,20912.88,20878.2,20179.88
20-Mar-14,21797.61,21853.25,21704.66,21740.09,21838.19,21512.92,20932.51,20889.27,20187.46
21-Mar-14,21823.52,21870.11,21729.9,21753.75,21810.37,21572.1,20953.42,20899.84,20197.38
22-Mar-14,21752.44,21778.92,21725.52,21755.32,21799.99,21623.21,20974.36,20911.67,20208.05
24-Mar-14,21827.5,22074.34,21827.5,22055.48,21785.58,21665.56,20994.84,20919.94,20220.54
25-Mar-14,21948.31,22079.96,21916.87,22055.21,21825.7,21739.48,21015.68,20930.15,20232.91
26-Mar-14,22134.71,22172.2,22020.58,22095.3,21860.76,21795.85,21041.62,20939.06,20245.73
27-Mar-14,22116.23,22307.74,22094.29,22214.37,21898.29,21850.41,21060.04,20948.04,20259.58
28-Mar-14,22273.44,22363.97,22185.11,22339.97,21952.79,21897.11,21081.29,20957.79,20274.01
31-Mar-14,22423.14,22467.21,22253.78,22386.27,22038.49,21925.12,21099.79,20971.45,20290.14
1-Apr-14,22455.23,22485.77,22295.65,22446.44,22128.85,21955.22,21121.29,20986.36,20307.08
2-Apr-14,22550.58,22592.1,22473.46,22551.49,22227.58,21996.55,21147.74,21002.6,20325.61
3-Apr-14,22598.19,22620.65,22369.28,22509.07,22298.44,22042.9,21172.57,21021.45,20342.18
4-Apr-14,22522.46,22525.21,22339.4,22359.5,22363.27,22091.87,21198.57,21041.63,20357.28
7-Apr-14,22355.56,22481.62,22197.51,22343.45,22401.02,22128.52,21222,21062.41,20372.8
